election_year,election_type,data_source,source_file,source_url,retrieved_at,extraction_quality,extraction_notes
2008,general,boulder_county,2008-general-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/12/2008-general-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,
2010,general,boulder_county,2010-general-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/09/2010-general-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,
2011,coordinated,boulder_county,2011-coordinated-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2011-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,
2012,general,boulder_county,2012-general-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2012-general-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,
2013,coordinated,boulder_county,2013-coordinated-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2013-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2014,general,boulder_county,2014-general-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2014-general-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,
2015,coordinated,boulder_county,2015-coordinated-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2015-election-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2016,general,boulder_county,2016-general-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2017/03/2016-general-election-results-final-sov.xls,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2017,coordinated,boulder_county,2017-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2017/11/Results_SOV_Final.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2018,general,boulder_county,2018-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2018/11/2018-General-Election-Official-Statement-Of-Votes.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2019,coordinated,boulder_county,2019-coordinated-sov.xls,https://assets.bouldercounty.gov/wp-content/uploads/2019/11/2019C-Official-Statement-Of-Votes-SOV.xls,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2020,general,boulder_county,2020-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2020/11/2020-Boulder-County-General-Election-Official-Statement-of-Votes.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2021,coordinated,boulder_county,2021-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2021/11/2021-Boulder-County-Coordinated-Election-Official-Statement-of-Votes-1.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2022,general,boulder_county,2022-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2022/12/2022G-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2023,coordinated,boulder_county,2023-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2023/12/2023C-Boulder-County-Official-Statement-of-Votes-Recount.xlsx,2026-05-23T18:13:44+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit; RCV: candidate_or_option suffixed with '| Round N' for each tabulation round and '| Final' for the Total Votes column"
2024,general,boulder_county,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2025,coordinated,boulder_county,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T18:30:06+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2004,general,secretary_of_state,2004-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2004/2004GeneralPrecinctBallotsCast.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2006,general,secretary_of_state,2006-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2006/2006GeneralPrecinctBallotsCast.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2008,general,secretary_of_state,2008-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2008/2008GeneralPrecinctTurnout.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2010,general,secretary_of_state,2010-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2010/general/2010GeneralPrecinctTurnout.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2012,general,secretary_of_state,2012-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2012/2012GeneralPrecinctLevelTurnout.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2014,general,secretary_of_state,2014-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2014/2014GeneralPrecinctTurnout.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2016,general,secretary_of_state,2016-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2016/General/2016GeneralTurnoutPrecinctLevel.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2018,general,secretary_of_state,2018-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2018/2018GEPrecinctLevelResults.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
2020,general,secretary_of_state,2020-general-precinct-results.xlsx,https://www.coloradosos.gov/pubs/elections/Results/2020/2020GEPrecinctLevelResultsPosted.xlsx,2026-05-23T18:13:44+00:00,machine_readable,
,,,,,,,
